Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,Bestbench(kg)
F,Raw,28.0,57.9,130.0,165.0,87.5
M,Raw,20.0,73.3,155.0,182.5,97.5
F,Raw,30.0,70.6,132.5,155.0,87.5
M,Raw,25.0,106.59,227.5,235.0,135.0
F,Raw,36.5,56.25,112.5,147.5,62.5
M,Wraps,28.0,89.5,210.0,265.0,132.5
M,Wraps,34.0,82.01,205.0,192.5,135.0
M,Raw,22.0,88.7,185.0,230.0,135.0
M,Raw,30.0,89.4,245.0,282.5,155.0
M,Wraps,23.0,96.7,252.5,247.5,125.0
M,Raw,27.0,78.88,185.0,205.0,135.0
F,Raw,10.0,34.56,60.0,75.0,30.0
M,Raw,23.0,72.8,182.5,207.5,135.0
M,Raw,13.5,55.9,85.0,95.0,47.5
F,Raw,30.0,66.2,182.5,212.5,97.5
M,Single-ply,32.5,95.6,250.0,250.0,167.5
M,Raw,34.0,122.7,30.0,277.5,220.0
M,Raw,15.5,57.5,82.5,142.5,60.0
M,Wraps,16.0,114.31,217.72,226.8,170.1
M,Raw,28.0,101.7,282.5,300.0,187.5
M,Wraps,33.0,108.4,262.5,292.5,190.0
M,Single-ply,21.0,73.9,327.5,272.5,150.0
M,Raw,21.0,111.8,167.5,200.0,117.5
F,Raw,27.0,56.0,102.5,110.0,55.0
M,Single-ply,25.5,127.73,315.0,302.5,252.5
M,Wraps,25.5,92.3,182.5,210.0,140.0
M,Raw,31.0,112.8,207.5,265.0,152.5
M,Single-ply,18.5,137.15,217.5,242.5,137.5
F,Raw,20.5,86.65,170.5,200.0,90.0
M,Raw,25.0,89.2,230.0,307.5,157.5
F,Raw,23.0,65.85,130.0,150.0,65.0
M,Single-ply,47.0,130.82,302.5,272.5,220.0
M,Raw,23.5,89.4,190.0,272.5,110.0
M,Wraps,24.0,107.3,272.5,247.5,160.0
M,Wraps,50.0,98.8,275.0,270.0,170.0
F,Wraps,34.0,71.4,130.0,160.0,82.5
M,Raw,18.5,70.2,145.0,170.0,77.5
F,Raw,36.0,81.65,115.0,157.5,60.0
M,Wraps,26.0,81.56,190.51,226.8,124.74
M,Raw,27.0,71.7,160.0,185.0,110.0
M,Raw,28.0,106.14,170.0,195.0,110.0
M,Raw,22.0,87.72,180.0,210.0,127.5
M,Raw,18.0,78.15,195.0,220.0,107.5
M,Single-ply,18.5,71.1,210.0,217.5,92.5
F,Raw,23.0,58.42,70.0,105.0,40.0
M,Raw,16.5,65.2,157.5,205.0,92.5
F,Raw,35.5,56.1,87.5,105.0,50.0
M,Raw,51.0,64.0,85.0,142.5,57.5
M,Wraps,47.5,86.61,215.46,210.92,174.63
M,Wraps,35.5,89.9,199.58,217.72,129.27
M,Raw,24.0,98.7,272.5,320.0,182.5
M,Raw,27.5,109.7,190.0,232.5,125.0
F,Raw,31.0,66.3,80.0,117.5,40.0
M,Raw,34.0,107.6,175.0,237.5,142.5
M,Raw,24.5,92.61,280.0,310.0,197.5
M,Raw,15.0,65.36,117.5,125.0,80.0
M,Wraps,25.0,108.95,265.35,306.17,215.46
F,Wraps,39.0,67.5,127.01,151.95,83.91
F,Raw,23.0,67.3,127.5,165.0,67.5
M,Wraps,26.0,78.3,145.0,172.5,97.5
M,Raw,21.0,80.35,207.5,255.0,155.0
F,Raw,40.0,67.5,102.5,137.5,57.5
F,Raw,18.5,89.5,150.0,170.0,72.5
